City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
324,tocopilla,-22.092,-70.1979,20.13,69,16,3.7,CL,1691180514
325,san pedro,14.35,121.0167,27.42,93,20,2.24,PH,1691180839
326,gizo,-8.103,156.8419,26.42,83,94,10.23,SB,1691180840
327,fortaleza,-3.7227,-38.5247,28.07,69,0,6.17,BR,1691180658
328,skovorodino,53.9833,123.9167,10.35,75,0,1.16,RU,1691180840
329,almeirim,-1.5233,-52.5817,34.96,35,15,2.39,BR,1691180558
330,klyuchi,52.2667,79.1667,19.53,75,100,2.4,RU,1691180749
331,ceres,37.5949,-120.9577,33.78,42,0,4.12,US,1691180840
332,sacramento,38.4666,-121.3177,33.44,43,0,2.24,US,1691180556
333,dalbandin,28.8947,64.4101,33.23,8,2,2.21,PK,1691180841
334,minas de marcona,-15.2119,-75.1103,18.28,54,9,3.45,PE,1691180841
335,iquique,-20.2208,-70.1431,19.02,71,18,2.68,CL,1691180638
336,chegdomyn,51.1167,133.0167,10.68,77,95,0.89,RU,1691180842
337,baruun-urt,46.6806,113.2792,9.62,95,2,2.81,MN,1691180842
338,melfort,52.8667,-104.6177,25.07,36,0,5.14,CA,1691180842
339,port alfred,-33.5906,26.891,20.57,48,100,2.99,ZA,1691180842
340,tabou,4.423,-7.3528,24.99,83,100,4.37,CI,1691180843
341,arroyo de la luz,39.4851,-6.584,25.38,16,6,1.95,ES,1691180843
342,tamanrasset,22.785,5.5228,33.95,10,3,2.06,DZ,1691180843
343,port isabel,26.0734,-97.2086,38.05,49,0,9.26,US,1691180843
344,barah,13.7,30.3667,27.47,61,44,4.1,SD,1691180844
345,malanje,-9.5402,16.341,22.55,24,2,1.82,AO,1691180844
346,le port,-20.9373,55.2919,21.98,95,71,2.67,RE,1691180739
347,ulladulla,-35.35,150.4667,16.12,62,100,3.59,AU,1691180844
348,hobyo,5.3505,48.5268,25.42,82,100,14.02,SO,1691180844
349,lionel town,17.8101,-77.2406,31.94,60,5,4.93,JM,1691180845
350,kaa-khem,51.6833,94.7333,16.01,87,51,0.39,RU,1691180845
351,grand falls-windsor,48.9332,-55.6649,25.84,42,10,2.27,CA,1691180845
352,bubaque,11.2833,-15.8333,27.26,78,99,0.38,GW,1691180846
353,okhotsk,59.3833,143.3,16.42,58,100,1.25,RU,1691180846
354,spring creek,40.7266,-115.5859,27.12,24,0,2.08,US,1691180846
355,flagstaff,35.1981,-111.6513,30.89,20,0,6.17,US,1691180651
356,mejit,10.2753,170.8646,28.24,71,44,6.93,MH,1691180847
357,heihe,50.2441,127.4902,12.32,79,100,1.77,CN,1691180847
358,jabor,5.921,169.6434,28.68,75,60,6.55,MH,1691180847
359,bulungu,-4.55,18.6,25.98,27,2,0.87,CD,1691180848
360,caleta olivia,-46.4393,-67.5281,11.16,45,0,5.9,AR,1691180848
361,calamba,14.2117,121.1653,27.17,87,100,3.75,PH,1691180848
362,san patricio,28.017,-97.5169,39.4,40,5,8.69,US,1691180762
